x,y,z,label,family,region
0.788400791,0.650399295,0.711300319,Banda [bnd],1,Papuanesia
0.813444032,0.446541125,0.694181361,Damar_West [drn],1,Papuanesia
0.101163759,0.551801231,0.220344032,Kangri [xnr],3,Eurasia
0.244195991,0.797070838,0.631533725,Amdo [adx],2,Eurasia
0.504047594,0.810598188,0.605806256,Tujia [tji],2,Eurasia
0.185395182,0.651877283,0.294136383,Balochi [bgp-2],3,Eurasia
0.41652906,0.599636155,0.208844932,Karaim [kdr],Turkic,Eurasia
0.205755817,0.509733647,0.234980901,Kalasha [kls],3,Eurasia
0.88523965,0.684002805,0.534155681,Begak [dbj-2],1,Papuanesia
0.649143761,0.757007815,0.195321047,Rennellese [mnv],1,Papuanesia
0.81772004,0.470272045,0.567560885,Ma'ya [slz],1,Papuanesia
0.369654979,0.293278595,0.797838765,Menya [mcr],Trans New Guinea,Papuanesia
0.783005215,0.753573826,0.411181514,Pacoh [pac],5,Eurasia
0.593511029,0.875666049,0.357828751,Hangzhou [wuu-2],2,Eurasia
0.134585752,0.613094331,0.391523169,Rongpo [rnp],2,Eurasia
0.253069143,0.545666041,0.398397737,Udmurt [udm],Uralic,Eurasia
0.978846537,0.512938821,0.54814283,Embaloh [emb],1,Papuanesia
0.828830351,0.779025585,0.543785491,Nonthaburi Malay [xxx-20],1,Eurasia
0.310708858,0.550343705,0.41125527,Ostyak [kca-2],Uralic,Eurasia
0.769302754,0.739344866,0.45291615,Ambonese Malay [abs],1,Papuanesia
0.161509341,0.578127905,0.146733292,Dimili [diq],3,Eurasia
0.128878052,0.510896384,0.418319917,Solega [sle],Dravidian,Eurasia
0.958404327,0.64236393,0.474471436,Melanau [mel],1,Papuanesia
0.287241008,0.708197015,0.627136202,Dolpo [dre],2,Eurasia
0.765454456,0.570759224,0.628934403,Kei [kei],1,Papuanesia
0.161973186,0.78576148,0.500379478,Tamang_Eastern [taj],2,Eurasia
0.517051974,0.846515956,0.513372421,Hkongso [mro],2,Eurasia
0.213450334,0.781903668,0.516823064,Tamang_Western [tdg],2,Eurasia
0.960157961,0.456141878,0.577709061,Barang-barang [lji],1,Papuanesia
0.17932275,0.701022003,0.610210754,Dingri [bod-4],2,Eurasia
0.156702862,0.764156356,0.610605974,Mustang [loy],2,Eurasia
0.169607185,0.778886257,0.590366607,Drokpa [bod-5],2,Eurasia
0.833439923,0.820184426,0.48953656,Golden Palaung [pll],5,Eurasia
0.607735817,0.120111605,0.263186496,Lushootseed [lut],Salish,North America
0.928272564,0.548413171,0.47799584,Sumbawa [smw],1,Papuanesia
0.854327189,0.728619101,0.478662091,Mualang [mtd],1,Papuanesia
0.823065036,0.77896313,0.552428534,Kupang Malay [mkn],1,Papuanesia
0.756228015,0.457725305,0.255909229,Aghem [agq],4,Africa
0.680953034,0.06496654,0.26801799,Nandi [kln],Nilo-Saharan,Africa
0.75315419,0.251890141,0.383495334,UMbundu [umb],4,Africa
0.273547526,0.557220884,0.280928654,Lamani [lmn],3,Eurasia
